AC,AL,AM,AP,BA,CE,DF,ES,EX,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
,,,,,,,,,,,São Joaquim de Bicas,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José da Barra,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José da Lapa,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José da Safira,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José da Varginha,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José do Alegre,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José do Divino,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José do Goiabal,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José do Jacuri,,,,,,,,,,,,,,,,
,,,,,,,,,,,São José do Mantimento,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João Batista do Glória,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João Evangelista,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João Nepomuceno,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João da Lagoa,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João da Mata,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João da Ponte,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João das Missões,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João del Rei,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João do Manhuaçu,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João do Manteninha,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João do Oriente,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João do Pacuí,,,,,,,,,,,,,,,,
,,,,,,,,,,,São João do Paraíso,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Lourenço,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Miguel do Anta,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Pedro da União,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Pedro do Suaçuí,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Pedro dos Ferros,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Romão,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Roque de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião da Bela Vista,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião da Vargem Alegre,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião do Anta,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião do Maranhão,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião do Oeste,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião do Paraíso,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião do Rio Preto,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Sebastião do Rio Verde,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Tiago,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Tomás de Aquino,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Tomé das Letras,,,,,,,,,,,,,,,,
,,,,,,,,,,,São Vicente de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tabuleiro,,,,,,,,,,,,,,,,
,,,,,,,,,,,Taiobeiras,,,,,,,,,,,,,,,,
,,,,,,,,,,,Taparuba,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tapira,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tapiraí,,,,,,,,,,,,,,,,
,,,,,,,,,,,Taquaraçu de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tarumirim,,,,,,,,,,,,,,,,
,,,,,,,,,,,Teixeiras,,,,,,,,,,,,,,,,
,,,,,,,,,,,Teófilo Otoni,,,,,,,,,,,,,,,,
,,,,,,,,,,,Timóteo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tiradentes,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tiros,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tocantins,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tocos do Moji,,,,,,,,,,,,,,,,
,,,,,,,,,,,Toledo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tombos,,,,,,,,,,,,,,,,
,,,,,,,,,,,Três Corações,,,,,,,,,,,,,,,,
,,,,,,,,,,,Três Marias,,,,,,,,,,,,,,,,
,,,,,,,,,,,Três Pontas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tumiritinga,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tupaciguara,,,,,,,,,,,,,,,,
,,,,,,,,,,,Turmalina,,,,,,,,,,,,,,,,
,,,,,,,,,,,Turvolândia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ubaporanga,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ubaí,,,,,,,,,,,,,,,,
,,,,,,,,,,,Uberaba,,,,,,,,,,,,,,,,
,,,,,,,,,,,Uberlândia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ubá,,,,,,,,,,,,,,,,
,,,,,,,,,,,Umburatiba,,,,,,,,,,,,,,,,
,,,,,,,,,,,Unaí,,,,,,,,,,,,,,,,
,,,,,,,,,,,União de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Uruana de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Urucuia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Urucânia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vargem Alegre,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vargem Bonita,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vargem Grande do Rio Pardo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Varginha,,,,,,,,,,,,,,,,
,,,,,,,,,,,Varjão de Minas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Varzelândia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vazante,,,,,,,,,,,,,,,,
,,,,,,,,,,,Verdelândia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Veredinha,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vermelho Novo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Veríssimo,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vespasiano,,,,,,,,,,,,,,,,
,,,,,,,,,,,Vieiras,,,,,,,,,,,,,,,,
,,,,,,,,,,,Virgem da Lapa,,,,,,,,,,,,,,,,
,,,,,,,,,,,Virginópolis,,,,,,,,,,,,,,,,
,,,,,,,,,,,Virgolândia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Virgínia,,,,,,,,,,,,,,,,
,,,,,,,,,,,Visconde do Rio Branco,,,,,,,,,,,,,,,,
,,,,,,,,,,,Viçosa,,,,,,,,,,,,,,,,
,,,,,,,,,,,Volta Grande,,,,,,,,,,,,,,,,
,,,,,,,,,,,Várzea da Palma,,,,,,,,,,,,,,,,
,,,,,,,,,,,Wenceslau Braz,,,,,,,,,,,,,,,,
,,,,,,,,,,,Água Boa,,,,,,,,,,,,,,,,
,,,,,,,,,,,Água Comprida,,,,,,,,,,,,,,,,
,,,,,,,,,,,Águas Formosas,,,,,,,,,,,,,,,,
,,,,,,,,,,,Águas Vermelhas,,,,,,,,,,,,,,,,
